,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description
498,61646,188.26.214.14,57269,188.26.208.0/21,2a0c:5a80:b006:4c00:da58:d7ff:fe03:94d,57269,2a0c:5a80::/29,es,Connected,Yes,40.3405,-3.7105,-
499,61660,-,6739,81.61.0.0/16,-,-,-,es,Disconnected,No,40.3875,-3.6195,Valdebernardo
500,61719,88.5.211.155,3352,88.5.0.0/16,-,-,-,es,Connected,Yes,41.6415,-0.9325,-
501,61758,213.177.212.2,15704,213.177.208.0/21,-,-,-,es,Connected,Yes,43.3515,-8.4205,-
502,61855,-,6739,84.120.0.0/16,-,-,-,es,Connected,No,38.2695,-0.7105,Mario Networks Limited
503,62117,83.48.111.71,3352,83.48.0.0/16,-,-,-,es,Abandoned,Yes,40.4305,-3.7025,-
504,62149,87.221.61.221,12479,87.221.60.0/22,-,-,-,es,Connected,Yes,36.6015,-4.5505,-
505,62255,84.54.27.113,29119,84.54.26.0/23,-,-,-,es,Connected,Yes,37.9795,-1.1105,LosDolores
506,62301,185.219.59.2,205241,185.219.59.0/24,-,-,-,es,Connected,Yes,41.5175,0.8675,-
507,62499,-,-,-,-,62080,2001:678:310::/48,es,Connected,No,40.4315,-3.7185,AS62080 1
508,62512,109.227.144.205,15704,109.227.144.0/20,fd67:a53b:d2c4:0:da58:d7ff:fe03:445,-,-,es,Disconnected,Yes,40.6985,-3.9325,Mi vivienda
509,62588,83.52.58.182,3352,83.52.0.0/16,-,-,-,es,Connected,Yes,43.5315,-5.6685,Torre Stark
510,62669,188.214.241.206,62412,188.214.240.0/23,2a04:6c01:100:3:da58:d7ff:fe03:911,62412,2a04:6c00::/29,es,Connected,Yes,38.0815,-1.2795,-
511,62705,2.152.69.175,6739,2.152.0.0/16,-,-,-,es,Disconnected,Yes,41.3995,2.1875,Vodafone lab
512,62799,88.22.252.154,3352,88.22.0.0/16,-,-,-,es,Connected,Yes,39.5615,-0.5285,BandaAncha.eu
513,62829,77.228.23.42,12430,77.224.0.0/13,-,-,-,es,Connected,Yes,43.4615,-3.8215,Santander Probe - Spain
514,62908,-,3352,83.53.0.0/16,-,-,-,es,Connected,No,43.3815,-5.7625,Granda Siero Probe
515,62939,88.20.39.111,3352,88.20.0.0/16,-,-,-,es,Connected,Yes,38.0215,-1.1315,"Murcia, Churra"
516,63003,90.173.25.240,12479,90.173.25.0/24,fdff:552a:58b0:ba31:da58:d7ff:fe03:5b0,-,-,es,Disconnected,Yes,40.3485,-3.8325,Home
517,63047,150.241.162.249,766,150.241.128.0/17,-,-,-,es,Connected,Yes,43.2605,-2.9305,-
518,63051,-,57269,86.127.224.0/19,-,57269,2a0c:5a80::/29,es,Connected,No,38.2675,-0.5405,casa
519,63085,155.54.210.2,766,155.54.0.0/16,-,-,-,es,Connected,Yes,37.9895,-1.1185,-
520,10002,81.0.0.196,15704,81.0.0.0/18,-,-,-,es,Abandoned,Yes,40.4605,-3.7505,-
521,10006,89.128.173.57,12479,89.128.172.0/22,-,-,-,es,Abandoned,Yes,41.5475,2.1075,-
522,10006,88.9.33.70,3352,88.9.0.0/16,fd7c:63:9087:1:735d:3313:6288:fd2f,-,-,es,Abandoned,Yes,40.5015,-3.8815,jrevillas@home
523,10006,79.156.155.162,3352,79.156.0.0/16,-,-,-,es,Connected,Yes,41.3775,2.0495,nuc
524,10009,83.38.91.160,3352,83.38.0.0/16,2001:470:c997:1::4,6939,2001:470::/32,es,Disconnected,Yes,40.3775,-3.7695,-
525,10009,79.148.157.38,3352,79.148.0.0/16,-,-,-,es,Abandoned,Yes,40.1095,-3.7595,-
526,10014,88.10.28.234,3352,88.10.0.0/16,-,-,-,es,Abandoned,Yes,43.3585,-2.8495,TurrisHOme
527,10016,85.52.212.139,12479,85.52.212.0/22,fdb6:599c:6446:0:68ca:82d3:76:8afc,-,-,es,Connected,Yes,41.4885,2.1875,"MiR, Spain"
