,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,lastWeekOn,lastMonthOn,allTimeOn,Seconds_disconnected,Days_disconnected
390,32584,185.36.0.56,200845,185.36.0.0/24,fd22:a7f5:5574:2:d66e:eff:fe23:6664,-,-,es,Disconnected,Yes,36.8395,-4.6385,-,0.0,0.0,0.8234999999999999,17457250,202
391,32615,37.134.214.51,12479,37.134.212.0/22,-,-,-,es,Disconnected,Yes,40.3695,-3.7625,Redparra Network rp1,0.0,0.7394,0.9939,672114,7
392,32626,84.88.1.18,13041,84.88.0.0/16,-,-,-,es,Connected,Yes,41.3905,2.1085,CSUC - Consorci de Serveis Uni,0.9987,0.9997,0.9993000000000001,0,0
394,32868,93.191.139.1,48846,93.191.136.0/21,-,-,-,es,Connected,Yes,40.5015,-3.6595,INETUM - PROBE,0.8885,0.9740000000000001,0.915,0,0
400,33627,79.154.53.175,3352,79.154.0.0/16,-,-,-,es,Connected,Yes,41.4005,2.1885,-,0.9994,0.9998999999999999,0.9732,0,0
401,33818,79.146.75.96,3352,79.146.0.0/16,-,-,-,es,Connected,Yes,40.2915,-3.8325,ALOJALIA MAD-HOME1,1.0,0.9998999999999999,0.8395999999999999,0,0
403,33948,79.151.83.32,3352,79.151.0.0/16,-,-,-,es,Connected,Yes,39.9915,-0.0505,Movistar 300M,1.0,1.0,0.982,0,0
405,33971,88.17.177.243,3352,88.17.0.0/16,fddc:a502:5043:5745:1ad6:c7ff:fe29:fd38,-,-,es,Connected,Yes,39.4575,-0.3795,-,1.0,1.0,0.8906999999999999,0,0
408,34344,83.61.133.170,3352,83.61.0.0/16,2a02:9140:4d80:3600:c225:e9ff:fea8:78a4,3352,2a02:9000::/23,es,Connected,Yes,40.3395,-3.8205,skgsergio@home,0.9994,0.9997,0.9922,0,0
412,34429,46.6.27.241,15704,46.6.24.0/21,-,-,-,es,Connected,Yes,36.6015,-4.5215,Benal Probe,1.0,1.0,0.5357,0,0
415,34664,185.154.9.241,200845,185.154.9.0/24,-,-,-,es,Connected,Yes,42.2495,3.1205,Empuriabrava - Jazztel,0.9997,0.9995,0.8508,0,0
426,35765,188.77.109.208,12479,188.77.108.0/22,-,-,-,es,Disconnected,Yes,41.4195,2.1905,-,0.3233,0.3435,0.8037000000000001,6616,0
427,35783,84.126.254.154,6739,84.126.0.0/16,-,-,-,es,Connected,Yes,38.9885,-0.5185,-,0.9995999999999999,0.9998999999999999,0.9864,0,0
429,50272,86.127.250.47,57269,86.127.224.0/19,-,-,-,es,Connected,Yes,37.2885,-5.9195,Alferez.es Ripe Atlas,0.9974,0.9984999999999999,0.9954000000000001,0,0
430,50328,217.150.213.31,33932,217.150.213.0/24,-,-,-,es,Connected,Yes,41.6715,2.7485,home user @ Everywan,1.0,0.9993000000000001,0.9437000000000001,0,0
432,50594,185.23.223.105,60493,185.23.223.0/24,-,-,-,es,Connected,Yes,41.5595,1.9615,FICOSA INTERNATIONAL RIPE ATLA,0.9971,0.9983,0.7956,0,0
435,50925,79.117.27.151,57269,79.116.0.0/15,2a0c:5a82:e506:206:1:45ff:fe60:1233,57269,2a0c:5a80::/29,es,Connected,Yes,40.4895,-3.8815,Epsilon,0.9951000000000001,0.9833,0.6409,0,0
438,51056,158.109.165.53,13041,158.109.0.0/16,-,-,-,es,Connected,Yes,41.5005,2.1095,Sensor SI Comms,0.9987,0.9997,0.9678,0,0
440,51265,79.150.158.173,3352,79.150.0.0/16,-,-,-,es,Connected,Yes,39.8495,3.0905,Alcudia,0.9998999999999999,1.0,0.988,0,0
441,51352,217.126.185.215,3352,217.126.0.0/16,2001:470:1f09:495:1:5ff:fe92:a02a,6939,2001:470::/32,es,Connected,Yes,40.5985,-3.9805,Casa-new,0.9997,0.9998,0.9991,0,0
444,52511,2.137.126.233,3352,2.137.0.0/16,-,-,-,es,Connected,Yes,28.6775,-17.7725,HomeLab Probe,0.9993000000000001,0.9987,0.9934999999999999,0,0
447,52963,193.17.192.236,34019,193.17.192.0/24,2001:67c:1740:a0d3:1:dbff:fea9:94b9,34019,2001:67c:1740::/48,es,Connected,Yes,36.7085,-4.4295,guadalmedina.keda.re,0.9983,0.9989,0.9337000000000001,0,0
448,52969,185.49.156.25,200030,185.49.156.0/22,-,-,-,es,Connected,Yes,38.0715,-0.7495,ATLAS at local ISP,1.0,1.0,0.9995,0,0
450,53240,195.140.157.179,15450,195.140.157.0/24,-,-,-,es,Connected,Yes,40.4375,-3.6305,ALHAMBRA SYSTEMS,1.0,1.0,0.9981,0,0
454,53386,90.170.246.194,12479,90.170.240.0/21,-,-,-,es,Disconnected,Yes,40.4905,-3.8785,Probe casa Edu,0.0,0.0,0.4459,4791634,55
455,53390,84.121.199.210,6739,84.121.0.0/16,-,-,-,es,Connected,Yes,39.4675,-0.3785,Valencia,1.0,0.9998999999999999,0.7532,0,0
456,53456,79.116.157.122,57269,79.116.0.0/15,2a0c:5a84:eb0a:6900:1:d1ff:fe0d:5faf,57269,2a0c:5a80::/29,es,Connected,Yes,41.5605,2.0095,casa.cmos486.es,0.9994,0.998,0.995,0,0
