,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,lastWeekOn,lastMonthOn,allTimeOn
30,2023,88.3.148.68,3352,88.3.0.0/16,2a02:9140:5281:2800:220:4aff:fee0:220a,3352,2a02:9000::/23,es,Disconnected,Yes,40.3985,-3.7215,AS3352 Probe v2,0.0,0.0,0.9637
31,2231,80.102.141.177,12479,80.102.128.0/20,-,-,-,es,Abandoned,Yes,41.3775,2.1185,Toots home router,0.0,0.0,0.27140000000000003
32,2247,-,29680,193.22.119.0/24,-,-,-,es,Abandoned,No,41.4905,2.1395,Voztelecom,,,
33,2394,-,-,-,-,-,-,es,Abandoned,No,40.3895,-3.6085,AS51678,,,
34,2406,193.146.134.103,766,193.144.0.0/14,-,-,-,es,Abandoned,Yes,40.4605,-3.4825,Eumetsat BUCC internet,0.0,0.0,0.6624
35,2454,-,-,-,-,-,-,es,Abandoned,Yes,40.4595,-3.6905,martinandrino,0.0,0.0,0.163
36,2492,88.6.96.34,3352,88.6.0.0/16,-,-,-,es,Abandoned,Yes,40.3985,-3.6985,macias,0.0,0.0,0.3194
37,2574,-,-,-,-,-,-,es,Abandoned,Yes,42.8495,-2.6695,42's WiMAX,0.0,0.0,0.07139999999999999
38,2595,-,3352,88.5.0.0/16,-,-,-,es,Abandoned,No,41.6495,-0.8785,Zaragoza,,,
39,2604,37.46.88.25,57929,37.46.88.0/21,-,-,-,es,Connected,Yes,40.4495,-3.5725,Octanio AS,0.9981,0.9993000000000001,0.9804
40,2639,79.152.40.237,3352,79.152.0.0/16,-,-,-,es,Abandoned,Yes,41.4115,2.2185,TelefonicaResearch,0.0,0.0,0.6603
41,2740,79.116.15.40,57269,79.116.0.0/15,2a0c:5a85:a301:4400:220:4aff:fee0:2308,57269,2a0c:5a80::/29,es,Connected,Yes,37.3175,-5.9405,kerkhoff_HOME,0.9995999999999999,0.9987999999999999,0.3432
42,2813,-,12357,81.202.120.0/21,-,-,-,es,Abandoned,No,39.4685,-0.3825,-,,,
43,3236,-,-,-,-,-,-,es,Abandoned,No,40.4005,-0.0015,-,,,
44,3320,-,3352,83.37.0.0/16,-,-,-,es,Abandoned,No,41.3875,2.1485,Aribau,,,
45,3471,-,3352,88.4.0.0/16,-,-,-,es,Connected,No,41.6475,-0.8895,Office,,,
46,3712,79.148.251.62,3352,79.148.0.0/16,-,-,-,es,Connected,Yes,40.4485,-3.7925,-,1.0,0.9998999999999999,0.9113
47,3720,193.145.14.94,766,193.144.0.0/14,2001:720:458:a:280:a3ff:fe91:3b8f,766,2001:720::/32,es,Abandoned,Yes,40.4175,-3.7015,IMDEA N.,0.0,0.0,0.1754
48,3726,83.48.64.37,3352,83.48.0.0/16,-,-,-,es,Connected,Yes,40.4305,-3.7115,JPC - CNC Madrid,1.0,1.0,0.8584
49,3748,-,15954,217.18.32.0/20,-,15954,2a01:a940::/32,es,Connected,No,40.4915,-3.6905,Tecnocratica MAD0,,,
50,3755,-,3352,88.12.0.0/16,-,3352,2a02:9000::/23,es,Connected,No,40.3495,-3.6805,-,,,
51,3758,-,-,-,-,-,-,es,Abandoned,Yes,36.6015,-4.5205,adsl,0.0,0.0,0.0319
52,3779,-,-,-,-,-,-,es,Never Connected,Yes,41.3115,2.0805,-,0.0,0.0,0.0
53,3785,80.39.56.70,3352,80.39.0.0/16,2001:470:7f1d:cafe:220:4aff:fee0:2832,6939,2001:470::/32,es,Connected,Yes,40.4495,-3.6485,Madrid,0.9967,0.9987999999999999,0.767
54,4048,150.241.254.254,766,150.241.128.0/17,-,-,-,es,Connected,Yes,43.3115,-2.0105,-,0.9983,0.48700000000000004,0.9577
55,4053,158.227.98.1,15488,158.227.0.0/16,-,-,-,es,Connected,Yes,43.2585,-2.9505,-,1.0,0.9992,0.8234
56,4068,-,15488,158.227.0.0/16,-,-,-,es,Abandoned,No,43.2615,-2.9495,-,,,
